epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.1923,0.7117,0.395,0.8891,0.0001
2,0.3761,0.8977,0.3053,0.9107,0.0001
3,0.2487,0.9344,0.3095,0.9227,0.0001
4,0.1697,0.9534,0.3207,0.9198,0.0001
5,0.1516,0.9582,0.2871,0.9227,0.0001
6,0.1223,0.9677,0.303,0.9304,0.0001
7,0.1101,0.969,0.3324,0.9304,0.0001
8,0.104,0.9719,0.2662,0.9356,0.0001
9,0.0952,0.9736,0.2946,0.929,0.0001
10,0.0748,0.9791,0.2824,0.9345,0.0001
11,0.0796,0.9769,0.2834,0.9367,0.0001
12,0.0726,0.9793,0.3218,0.9326,0.0001
13,0.045,0.987,0.267,0.9469,5e-05
14,0.0306,0.9916,0.2743,0.9414,5e-05
15,0.0237,0.9935,0.277,0.944,5e-05
16,0.0252,0.9928,0.2695,0.9432,5e-05
17,0.0203,0.995,0.2727,0.9473,2.5e-05
18,0.0161,0.9958,0.2585,0.9447,2.5e-05
19,0.0144,0.9957,0.262,0.9454,2.5e-05
20,0.0129,0.9967,0.264,0.9443,2.5e-05
21,0.0158,0.9956,0.2786,0.9436,2.5e-05
22,0.0103,0.9975,0.2698,0.9465,2.5e-05
